"","fldCruiseName","fldCruiseStationNumber","fldShotLonDecimalDegrees","fldShotLatDecimalDegrees","fldShotShipsHeading","fldShotDepth","Warp_m","fldGearCode","SweepLngt_m","fldValidityCode","fldWindSpeed","ObsHeave_m","ObsPitch_deg","ObsRoll_deg","door_dist_Median","door_dist_sd","wing_dist_Median","wing_dist_sd","TS_fish_density_Median","TS_fish_density_sd","TS_opening_Median","TS_opening_sd","TS_clearance_Median","TS_clearance_sd","TS_height_Median","TS_height_sd","TEY_fish_density_Median","TEY_fish_density_sd","TEY_height_Median","TEY_height_sd","TEY_opening_Median","TEY_opening_sd","TEY_clearance_Median","TEY_clearance_sd","TSP_along_speed_Median","TSP_along_speed_sd","TSP_across_speed_Median","TSP_across_speed_sd"
"24","IGFS2018",28,-7.026,55.507,305,75,286,"101020101","S","V","17",3.39,9.7,3.39,83.75,18.3292327274622,21.88,0.263362242109106,0,0.936458420715286,4,0.33473843744437,0,0.0337230893194374,4,0.488615093053191,0,0.805386845764491,3.75,1.44374765066959,3.5,0.181276306881636,0,1.52228910383394,2.9,0.104497926353603,-0.06,0.0374482265033532
"25","IGFS2018",29,-6.682,55.893,16,60,246,"101020101","S","V","7",3.98,2.09,3.98,76.63,14.2183302830443,20.94,0.494014786981217,0,1.47778971232799,4.19,1.40327625014971,0,9.15425013552022,4.25,2.92622141931738,0,0.583459965991578,3.72,0.137999319684142,3.75,0.12395802272483,0,0.414578098794425,2.285,0.15021413287133,0.04,0.033367645684346
"26","IGFS2018",30,-6.982,56.052,274,81,298,"101020101","S","V","NULL",3.16,5.66,3.16,80.63,0.712400327789861,21.56,0.175678938811791,1,1.18480793433782,4.25,0.210740709371363,0,0,4.25,0.682534782354548,0,1.00369621958873,3.81,0.087746384817276,3.81,0.0694369108892204,0,0.0620757445243505,2.39,0.128722369230627,-0.08,0.101077841900093
"27","IGFS2018",32,-6.771,56.398,208,80,298,"101020101","S","V","16",2.29,3.01,2.29,80.875,1.1530762414003,21.63,0.326413380239933,0,0.941048425588972,4.13,0.110130615521968,0,0,4.13,0.124970215887363,0,1.42102014257858,3.75,0.136170581030116,3.75,0.139499967612381,0,0.0468292905790847,2.47,0.0973002182640244,0.05,0.0288694047315527
"28","IGFS2018",33,-7.03,56.322,229,88,324,"101020101","S","V","21",3.63,4.37,3.63,76.19,12.379801095778,20.88,0.513636965502705,1,1.27451568993969,4.19,1.15266949955163,0,7.86735829548211,4.25,2.22826199679582,0,1.05223512013419,3.69,0.13094528119282,3.69,0.117816897158424,0,0.324090608043834,2.28,0.126712738678713,0.03,0.035790441614427
"29","IGFS2018",34,-7.915,55.21,327,26,120,"101020101","S","V","15",1.31,3.43,1.31,30.81,46.7265197314929,17.06,0.913693232832852,1,1.5101388944463,4.81,18.2603348944954,0,0,4.81,21.5236048031539,0,1.0735547931518,4.44,0.236778387704632,4.47,0.273024890335278,0,0.345960206561596,2.49,0.0923881364979713,0.04,0.0388052867530728
"30","IGFS2018",35,-8.195,55.357,310,77,311,"101020101","S","I","21",1.93,2.84,1.93,82.625,15.2117648505,21.75,12.2600341499794,7,0.645555532233463,4.31,2.78271906318539,0,0.773780737168795,4.38,0.187334157425873,0,1.30779106141519,4.22,1.26903392140203,3.81,0.286449207948246,0.5,1.34621198922722,2.33,0.182920302571179,-0.015,0.0497584678080199
"31","IGFS2018",36,-8.615,55.465,156,101,349,"101020101","L","V","21",2.37,3.34,2.37,104.56,3.26880141943557,21.345,0.276859709422116,2,2.30516279472927,4.06,0.644387522771124,0,0,4.095,0.15650291992274,0,0.604193662237811,3.69,0.507443910234322,3.69,0.0933100620338861,0,0.553270127606202,0,0,0,0
"32","IGFS2018",37,-8.696,55.274,257,97,349,"101020101","L","V","30",3.47,7.56,3.47,106.47,0.963516373769023,21.595,0.308862998943127,4,2.68408291139987,3.94,26.4717544180234,0,0,3.94,32.4497431448031,0,0.801822661453005,3.63,0.109769239043731,3.63,0.162825827338707,0,0.489584278707402,0.47,0.258650343127551,-0.17,1.00233228023445
"33","IGFS2018",38,-9.017,54.661,173,89,324,"101020101","L","V","7",3.35,1.36,3.35,101.41,2.34982267744869,21,0.462836734496918,1,1.52013285322338,4.31,1.07414488723216,0,0.183964334930602,4.31,1.06520211886551,0,1.11166557211874,3.88,0.347390876999239,3.81,0.17597522348126,0,0.319015025925961,2.35,0.152948755094998,-0.08,0.0770706416244871
